runtime,20190402-122559
initialisation,TODO
update,TODO
speed,18.956603527069092
n_iterations,1
n_updates,0
average_time_per_update,18.956603527069092
n_clusters,2
wscc,74544592.5012591
4091,"[1.14322296e+02 4.65266051e+01 2.45505318e-01 4.82528774e-01
 1.15006880e+00 1.15618599e+01 1.55111828e+01 2.99493386e+02]"
4091,4
4091,6
4091,7
4091,11
4091,16
4091,30
4091,31
4091,38
4091,42
4091,44
4091,47
4091,50
4091,53
4091,54
4091,57
4091,59
4091,64
4091,65
4091,69
4091,81
4091,83
4091,95
4091,105
4091,115
4091,126
4091,139
4091,152
4091,156
4091,160
4091,175
4091,181
4091,184
4091,186
4091,196
4091,200
4091,205
4091,212
4091,214
4091,215
4091,216
4091,235
4091,241
4091,244
4091,282
4091,288
4091,298
4091,310
4091,317
4091,319
4091,347
4091,361
4091,366
4091,372
4091,373
4091,375
4091,396
4091,399
4091,413
4091,460
4091,463
4091,466
4091,472
4091,478
4091,489
4091,490
4091,494
4091,497
4091,498
4091,502
4091,525
4091,533
4091,545
4091,550
4091,557
4091,560
4091,561
4091,563
4091,577
4091,594
4091,605
4091,612
4091,619
4091,623
4091,633
4091,635
4091,637
4091,647
4091,649
4091,654
4091,656
4091,661
4091,670
4091,674
4091,675
4091,705
4091,707
4091,714
4091,716
4091,718
4091,720
4091,735
4091,745
4091,752
4091,753
4091,755
4091,758
4091,770
4091,774
4091,775
4091,782
4091,783
4091,785
4091,792
4091,793
4091,794
4091,802
4091,803
4091,816
4091,817
4091,831
4091,833
4091,836
4091,855
4091,859
4091,874
4091,878
4091,880
4091,885
4091,891
4091,893
4091,901
4091,903
4091,908
4091,930
4091,938
4091,943
4091,945
4091,950
4091,957
4091,961
4091,962
4091,977
4091,995
4091,1001
4091,1009
4091,1015
4091,1023
4091,1031
4091,1032
4091,1045
4091,1050
4091,1051
4091,1053
4091,1055
4091,1068
4091,1071
4091,1072
4091,1075
4091,1107
4091,1110
4091,1112
4091,1124
4091,1129
4091,1134
4091,1176
4091,1177
4091,1181
4091,1206
4091,1208
4091,1212
4091,1217
4091,1223
4091,1230
4091,1245
4091,1254
4091,1256
4091,1265
4091,1266
4091,1271
4091,1277
4091,1287
4091,1288
4091,1309
4091,1312
4091,1313
4091,1318
4091,1328
4091,1334
4091,1338
4091,1339
4091,1346
4091,1348
4091,1349
4091,1359
4091,1362
4091,1365
4091,1378
4091,1399
4091,1416
4091,1423
4091,1430
4091,1438
4091,1453
4091,1457
4091,1461
4091,1466
4091,1470
4091,1492
4091,1503
4091,1507
4091,1521
4091,1523
4091,1539
4091,1542
4091,1551
4091,1565
4091,1569
4091,1576
4091,1578
4091,1591
4091,1603
4091,1606
4091,1607
4091,1614
4091,1618
4091,1627
4091,1634
4091,1639
4091,1645
4091,1649
4091,1650
4091,1660
4091,1677
4091,1678
4091,1695
4091,1707
4091,1713
4091,1714
4091,1716
4091,1728
4091,1733
4091,1748
4091,1750
4091,1756
4091,1763
4091,1773
4091,1782
4091,1783
4091,1789
4091,1791
4091,1793
4091,1801
4091,1811
4091,1813
4091,1814
4091,1818
4091,1819
4091,1821
4091,1852
4091,1858
4091,1868
4091,1871
4091,1874
4091,1909
4091,1915
4091,1916
4091,1924
4091,1928
4091,1929
4091,1932
4091,1938
4091,1957
4091,1965
4091,1968
4091,1972
4091,1976
4091,1979
4091,1990
4091,1995
4091,2015
4091,2016
4091,2022
4091,2029
4091,2052
4091,2055
4091,2059
4091,2064
4091,2082
4091,2087
4091,2099
4091,2107
4091,2133
4091,2134
4091,2144
4091,2149
4091,2150
4091,2153
4091,2154
4091,2160
4091,2161
4091,2176
4091,2178
4091,2200
4091,2202
4091,2206
4091,2216
4091,2243
4091,2248
4091,2249
4091,2251
4091,2267
4091,2277
4091,2284
4091,2290
4091,2296
4091,2298
4091,2307
4091,2310
4091,2313
4091,2317
4091,2324
4091,2342
4091,2352
4091,2353
4091,2355
4091,2358
4091,2366
4091,2371
4091,2372
4091,2388
4091,2395
4091,2402
4091,2413
4091,2416
4091,2417
4091,2421
4091,2431
4091,2433
4091,2435
4091,2456
4091,2468
4091,2470
4091,2473
4091,2474
4091,2479
4091,2481
4091,2484
4091,2486
4091,2509
4091,2515
4091,2517
4091,2527
4091,2528
4091,2532
4091,2542
4091,2546
4091,2552
4091,2559
4091,2575
4091,2581
4091,2591
4091,2595
4091,2598
4091,2599
4091,2610
4091,2623
4091,2629
4091,2638
4091,2640
4091,2642
4091,2652
4091,2656
4091,2662
4091,2669
4091,2682
4091,2688
4091,2690
4091,2710
4091,2713
4091,2723
4091,2731
4091,2735
4091,2736
4091,2741
4091,2747
4091,2759
4091,2760
4091,2766
4091,2779
4091,2786
4091,2787
4091,2788
4091,2811
4091,2812
4091,2816
4091,2825
4091,2826
4091,2835
4091,2852
4091,2865
4091,2867
4091,2881
4091,2882
4091,2883
4091,2892
4091,2894
4091,2898
4091,2899
4091,2910
4091,2920
4091,2928
4091,2932
4091,2941
4091,2953
4091,2955
4091,2958
4091,2960
4091,2962
4091,2990
4091,2994
4091,3008
4091,3013
4091,3019
4091,3022
4091,3023
4091,3026
4091,3030
4091,3032
4091,3036
4091,3041
4091,3047
4091,3061
4091,3065
4091,3075
4091,3079
4091,3085
4091,3091
4091,3092
4091,3093
4091,3097
4091,3103
4091,3108
4091,3138
4091,3143
4091,3151
4091,3157
4091,3159
4091,3163
4091,3169
4091,3173
4091,3177
4091,3200
4091,3202
4091,3208
4091,3223
4091,3245
4091,3256
4091,3257
4091,3261
4091,3263
4091,3276
4091,3287
4091,3288
4091,3295
4091,3305
4091,3314
4091,3319
4091,3331
4091,3361
4091,3363
4091,3370
4091,3382
4091,3390
4091,3397
4091,3399
4091,3402
4091,3407
4091,3409
4091,3411
4091,3421
4091,3433
4091,3435
4091,3438
4091,3447
4091,3448
4091,3457
4091,3492
4091,3543
4091,3548
4091,3559
4091,3562
4091,3566
4091,3573
4091,3578
4091,3580
4091,3587
4091,3590
4091,3595
4091,3596
4091,3610
4091,3629
4091,3637
4091,3678
4091,3681
4091,3686
4091,3701
4091,3707
4091,3734
4091,3757
4091,3773
4091,3775
4091,3781
4091,3812
4091,3813
4091,3818
4091,3829
4091,3839
4091,3846
4091,3857
4091,3867
4091,3869
4091,3883
4091,3889
4091,3890
4091,3894
4091,3895
4091,3902
4091,3906
4091,3907
4091,3916
4091,3921
4091,3932
4091,3933
4091,3952
4091,3956
4091,3957
4091,3960
4091,4001
4091,4011
4091,4029
4091,4031
4091,4034
4091,4040
4091,4042
4091,4044
4091,4050
4091,4065
4091,4069
4091,4074
4091,4077
4091,4079
4091,4112
4091,4129
4091,4133
4091,4157
4091,4162
4091,4169
4091,4180
4091,4186
4091,4188
4091,4202
4091,4215
4091,4242
4091,4248
4091,4251
4091,4259
4091,4272
4091,4277
4091,4293
4091,4297
4091,4302
4091,4313
4091,4330
4091,4343
4091,4349
4091,4355
4091,4379
4091,4390
4091,4400
4091,4401
4091,4409
4091,4414
4091,4434
4091,4447
4091,4451
4091,4485
4091,4487
4091,4493
4091,4500
4091,4510
4091,4537
4091,4538
4091,4556
4091,4574
4091,4583
4091,4584
4091,4595
4091,4597
4091,4602
4091,4604
4091,4628
4091,4630
4091,4633
4091,4634
4091,4635
4091,4636
4091,4638
4091,4643
4091,4655
4091,4660
4091,4662
4091,4664
4091,4676
4091,4705
