runtime,20190329-113421
initialisation,TODO
update,TODO
speed,19.029941082000732
n_iterations,1
n_updates,0
average_time_per_update,19.029941082000732
n_clusters,2
wscc,74544592.5012591
12949,"[1.14322296e+02 4.65266051e+01 2.45505318e-01 4.82528774e-01
 1.15006880e+00 1.15618599e+01 1.55111828e+01 2.99493386e+02]"
12949,4
12949,6
12949,7
12949,11
12949,16
12949,30
12949,31
12949,38
12949,42
12949,44
12949,47
12949,50
12949,53
12949,54
12949,57
12949,59
12949,64
12949,65
12949,69
12949,81
12949,83
12949,95
12949,105
12949,115
12949,126
12949,139
12949,152
12949,156
12949,160
12949,175
12949,181
12949,184
12949,186
12949,196
12949,200
12949,205
12949,212
12949,214
12949,215
12949,216
12949,235
12949,241
12949,244
12949,282
12949,288
12949,298
12949,310
12949,317
12949,319
12949,347
12949,361
12949,366
12949,372
12949,373
12949,375
12949,396
12949,399
12949,413
12949,460
12949,463
12949,466
12949,472
12949,478
12949,489
12949,490
12949,494
12949,497
12949,498
12949,502
12949,525
12949,533
12949,545
12949,550
12949,557
12949,560
12949,561
12949,563
12949,577
12949,594
12949,605
12949,612
12949,619
12949,623
12949,633
12949,635
12949,637
12949,647
12949,649
12949,654
12949,656
12949,661
12949,670
12949,674
12949,675
12949,705
12949,707
12949,714
12949,716
12949,718
12949,720
12949,735
12949,745
12949,752
12949,753
12949,755
12949,758
12949,770
12949,774
12949,775
12949,782
12949,783
12949,785
12949,792
12949,793
12949,794
12949,802
12949,803
12949,816
12949,817
12949,831
12949,833
12949,836
12949,855
12949,859
12949,874
12949,878
12949,880
12949,885
12949,891
12949,893
12949,901
12949,903
12949,908
12949,930
12949,938
12949,943
12949,945
12949,950
12949,957
12949,961
12949,962
12949,977
12949,995
12949,1001
12949,1009
12949,1015
12949,1023
12949,1031
12949,1032
12949,1045
12949,1050
12949,1051
12949,1053
12949,1055
12949,1068
12949,1071
12949,1072
12949,1075
12949,1107
12949,1110
12949,1112
12949,1124
12949,1129
12949,1134
12949,1176
12949,1177
12949,1181
12949,1206
12949,1208
12949,1212
12949,1217
12949,1223
12949,1230
12949,1245
12949,1254
12949,1256
12949,1265
12949,1266
12949,1271
12949,1277
12949,1287
12949,1288
12949,1309
12949,1312
12949,1313
12949,1318
12949,1328
12949,1334
12949,1338
12949,1339
12949,1346
12949,1348
12949,1349
12949,1359
12949,1362
12949,1365
12949,1378
12949,1399
12949,1416
12949,1423
12949,1430
12949,1438
12949,1453
12949,1457
12949,1461
12949,1466
12949,1470
12949,1492
12949,1503
12949,1507
12949,1521
12949,1523
12949,1539
12949,1542
12949,1551
12949,1565
12949,1569
12949,1576
12949,1578
12949,1591
12949,1603
12949,1606
12949,1607
12949,1614
12949,1618
12949,1627
12949,1634
12949,1639
12949,1645
12949,1649
12949,1650
12949,1660
12949,1677
12949,1678
12949,1695
12949,1707
12949,1713
12949,1714
12949,1716
12949,1728
12949,1733
12949,1748
12949,1750
12949,1756
12949,1763
12949,1773
12949,1782
12949,1783
12949,1789
12949,1791
12949,1793
12949,1801
12949,1811
12949,1813
12949,1814
12949,1818
12949,1819
12949,1821
12949,1852
12949,1858
12949,1868
12949,1871
12949,1874
12949,1909
12949,1915
12949,1916
12949,1924
12949,1928
12949,1929
12949,1932
12949,1938
12949,1957
12949,1965
12949,1968
12949,1972
12949,1976
12949,1979
12949,1990
12949,1995
12949,2015
12949,2016
12949,2022
12949,2029
12949,2052
12949,2055
12949,2059
12949,2064
12949,2082
12949,2087
12949,2099
12949,2107
12949,2133
12949,2134
12949,2144
12949,2149
12949,2150
12949,2153
12949,2154
12949,2160
12949,2161
12949,2176
12949,2178
12949,2200
12949,2202
12949,2206
12949,2216
12949,2243
12949,2248
12949,2249
12949,2251
12949,2267
12949,2277
12949,2284
12949,2290
12949,2296
12949,2298
12949,2307
12949,2310
12949,2313
12949,2317
12949,2324
12949,2342
12949,2352
12949,2353
12949,2355
12949,2358
12949,2366
12949,2371
12949,2372
12949,2388
12949,2395
12949,2402
12949,2413
12949,2416
12949,2417
12949,2421
12949,2431
12949,2433
12949,2435
12949,2456
12949,2468
12949,2470
12949,2473
12949,2474
12949,2479
12949,2481
12949,2484
12949,2486
12949,2509
12949,2515
12949,2517
12949,2527
12949,2528
12949,2532
12949,2542
12949,2546
12949,2552
12949,2559
12949,2575
12949,2581
12949,2591
12949,2595
12949,2598
12949,2599
12949,2610
12949,2623
12949,2629
12949,2638
12949,2640
12949,2642
12949,2652
12949,2656
12949,2662
12949,2669
12949,2682
12949,2688
12949,2690
12949,2710
12949,2713
12949,2723
12949,2731
12949,2735
12949,2736
12949,2741
12949,2747
12949,2759
12949,2760
12949,2766
12949,2779
12949,2786
12949,2787
12949,2788
12949,2811
12949,2812
12949,2816
12949,2825
12949,2826
12949,2835
12949,2852
12949,2865
12949,2867
12949,2881
12949,2882
12949,2883
12949,2892
12949,2894
12949,2898
12949,2899
12949,2910
12949,2920
12949,2928
12949,2932
12949,2941
12949,2953
12949,2955
12949,2958
12949,2960
12949,2962
12949,2990
12949,2994
12949,3008
12949,3013
12949,3019
12949,3022
12949,3023
12949,3026
12949,3030
12949,3032
12949,3036
12949,3041
12949,3047
12949,3061
12949,3065
12949,3075
12949,3079
12949,3085
12949,3091
12949,3092
12949,3093
12949,3097
12949,3103
12949,3108
12949,3138
12949,3143
12949,3151
12949,3157
12949,3159
12949,3163
12949,3169
12949,3173
12949,3177
12949,3200
12949,3202
12949,3208
12949,3223
12949,3245
12949,3256
12949,3257
12949,3261
12949,3263
12949,3276
12949,3287
12949,3288
12949,3295
12949,3305
12949,3314
12949,3319
12949,3331
12949,3361
12949,3363
12949,3370
12949,3382
12949,3390
12949,3397
12949,3399
12949,3402
12949,3407
12949,3409
12949,3411
12949,3421
12949,3433
12949,3435
12949,3438
12949,3447
12949,3448
12949,3457
12949,3492
12949,3543
12949,3548
12949,3559
12949,3562
12949,3566
12949,3573
12949,3578
12949,3580
12949,3587
12949,3590
12949,3595
12949,3596
12949,3610
12949,3629
12949,3637
12949,3678
12949,3681
12949,3686
12949,3701
12949,3707
12949,3734
12949,3757
12949,3773
12949,3775
12949,3781
12949,3812
12949,3813
12949,3818
12949,3829
12949,3839
12949,3846
12949,3857
12949,3867
12949,3869
12949,3883
12949,3889
12949,3890
12949,3894
12949,3895
12949,3902
12949,3906
12949,3907
12949,3916
12949,3921
12949,3932
12949,3933
12949,3952
12949,3956
12949,3957
12949,3960
12949,4001
12949,4011
12949,4029
12949,4031
12949,4034
12949,4040
12949,4042
12949,4044
12949,4050
12949,4065
12949,4069
12949,4074
12949,4077
12949,4079
12949,4112
12949,4129
12949,4133
12949,4157
12949,4162
12949,4169
12949,4180
12949,4186
12949,4188
12949,4202
12949,4215
12949,4242
12949,4248
12949,4251
12949,4259
12949,4272
12949,4277
12949,4293
12949,4297
12949,4302
12949,4313
12949,4330
12949,4343
12949,4349
12949,4355
12949,4379
12949,4390
12949,4400
12949,4401
12949,4409
12949,4414
12949,4434
12949,4447
12949,4451
12949,4485
12949,4487
12949,4493
12949,4500
12949,4510
12949,4537
12949,4538
12949,4556
12949,4574
12949,4583
12949,4584
12949,4595
12949,4597
12949,4602
12949,4604
12949,4628
12949,4630
12949,4633
12949,4634
12949,4635
12949,4636
12949,4638
12949,4643
12949,4655
12949,4660
12949,4662
12949,4664
12949,4676
12949,4705
